time,next_time,ret_1000,ret_500,signal,close_im,close_ic,next_close_im,next_close_ic,ret_next_im,ret_next_ic,trade_ret,direction
2024-01-03,2024-01-04,-0.0052447334466612094,-0.0014900575758511891,-1,5809.4,5388.6,5765.2,5347.8,-0.007608358866664333,-0.007571539917603842,3.681894906049088e-05,short_IM_long_IC
2024-01-04,2024-01-05,-0.007044470895715249,-0.008529907551660276,1,5765.2,5347.8,5664.8,5282.2,-0.01741483383056952,-0.012266726504357006,-0.005148107326212514,long_IM_short_IC
2024-01-05,2024-01-08,-0.01853814847980262,-0.013715422804860156,-1,5664.8,5282.2,5480.2,5130.6,-0.032587205197006086,-0.028700162810949892,0.0038870423860561942,short_IM_long_IC
2024-01-08,2024-01-09,-0.02329792945291287,-0.021615711144484462,-1,5480.2,5130.6,5513.4,5155.0,0.006058173059377392,0.004755779051182962,-0.0013023940081944296,short_IM_long_IC
2024-01-09,2024-01-10,0.0017550048258574424,0.002506589150294447,-1,5513.4,5155.0,5484.6,5138.8,-0.005223636957231381,-0.0031425800193985998,0.0020810569378327815,short_IM_long_IC
2024-01-10,2024-01-11,-0.007425291990614258,-0.004357481576164224,-1,5484.6,5138.8,5595.2,5209.6,0.0201655544615833,0.013777535611426917,-0.006388018850156385,short_IM_long_IC
2024-01-11,2024-01-12,0.017968988992626,0.012753761168112554,1,5595.2,5209.6,5551.0,5188.6,-0.007899628252788116,-0.004031019656019708,-0.003868608596768408,long_IM_short_IC
2024-01-12,2024-01-15,-0.006526742127487051,-0.0033854829241033446,-1,5551.0,5188.6,5530.2,5178.2,-0.0037470725995316645,-0.0020043942489305078,0.0017426783506011567,short_IM_long_IC
2024-01-15,2024-01-16,-0.00271174456308354,-0.00247444478463843,-1,5530.2,5178.2,5513.0,5173.4,-0.003110194929658916,-0.0009269630373489601,0.002183231892309956,short_IM_long_IC
2024-01-16,2024-01-17,-0.003579880187992268,-0.0005580464166146104,-1,5513.0,5173.4,5346.4,5017.8,-0.030219481226192668,-0.03007693199829886,0.00014254922789380675,short_IM_long_IC
2024-01-17,2024-01-18,-0.027142016965112203,-0.024826229590315663,-1,5346.4,5017.8,5344.6,5045.0,-0.00033667514589241776,0.00542070229981273,0.005757377445705147,short_IM_long_IC
2024-01-18,2024-01-19,-0.002912849470681933,0.0010705043396381786,-1,5344.6,5045.0,5217.4,4950.8,-0.023799723084983126,-0.018671952428146676,0.00512777065683645,short_IM_long_IC
2024-01-19,2024-01-22,-0.012364127832907301,-0.009576692950221677,-1,5217.4,4950.8,4830.4,4645.6,-0.07417487637520603,-0.06164660256928167,0.012528273805924361,short_IM_long_IC
2024-01-22,2024-01-23,-0.057688599227938564,-0.04731723837631241,-1,4830.4,4645.6,4998.0,4800.4,0.034696919509771496,0.03332185293611145,-0.0013750665736600443,short_IM_long_IC
2024-01-23,2024-01-24,0.015756953000795715,0.01773031725663987,-1,4998.0,4800.4,5090.8,4890.2,0.01856742697078828,0.018706774435463647,0.00013934746467536563,short_IM_long_IC
2024-01-24,2024-01-25,0.012555300517370194,0.013966602839484032,-1,5090.8,4890.2,5306.6,5060.0,0.042390194075587306,0.034722506236963824,-0.007667687838623483,short_IM_long_IC
2024-01-25,2024-01-26,0.03359391413607127,0.028270258539588422,1,5306.6,5060.0,5216.8,4992.6,-0.016922323144763163,-0.013320158102766766,-0.003602165041996397,long_IM_short_IC
2024-01-26,2024-01-29,-0.00873376540928228,-0.009083990529880626,1,5216.8,4992.6,5063.0,4893.2,-0.0294816745897869,-0.019909466009694454,-0.009572208580092445,long_IM_short_IC
2024-01-29,2024-01-30,-0.026285443566113065,-0.019728995674876293,-1,5063.0,4893.2,4907.2,4767.8,-0.030772269405490826,-0.025627401291588248,0.005144868113902579,short_IM_long_IC
2024-01-30,2024-01-31,-0.028567464065505255,-0.022914950803623158,-1,4907.2,4767.8,4727.2,4657.4,-0.036680795565699365,-0.023155333696883384,0.01352546186881598,short_IM_long_IC
2024-01-31,2024-02-01,-0.04004843018574711,-0.024509122634252978,-1,4727.2,4657.4,4699.2,4648.8,-0.005923168048739158,-0.001846523811568579,0.004076644237170579,short_IM_long_IC
2024-02-01,2024-02-02,-0.007228394710839914,-0.003885220195548489,-1,4699.2,4648.8,4507.2,4512.8,-0.04085801838610825,-0.029254861469626525,0.011603156916481727,short_IM_long_IC
