number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
495,2024-01-02,000852.SH,5891.1741,5891.2271,5854.5922,5854.7494,128377670.0,141351641579.0,1.3454
494,2024-01-03,000852.SH,5838.5529,5861.4108,5785.2515,5824.0428,119248925.0,131179260681.0,1.2495
493,2024-01-04,000852.SH,5814.9372,5814.9372,5753.4666,5783.0155,102952534.0,112642946170.0,1.0788
492,2024-01-05,000852.SH,5779.7567,5796.759,5652.1261,5675.8091,119205197.0,126682946917.0,1.2485
491,2024-01-08,000852.SH,5664.4526,5664.4526,5543.5745,5543.5745,110512726.0,112633892925.0,1.1572
490,2024-01-09,000852.SH,5553.1836,5607.2178,5513.1298,5553.3035,110223223.0,114678407169.0,1.1542
489,2024-01-10,000852.SH,5540.6641,5580.4191,5462.3615,5512.0686,106499446.0,108158125143.0,1.1152
488,2024-01-11,000852.SH,5507.803,5634.0247,5502.2938,5611.1149,124717749.0,123635425166.0,1.3059
487,2024-01-12,000852.SH,5601.0976,5646.2716,5574.4084,5574.4926,121066881.0,118289969742.0,1.2673
486,2024-01-15,000852.SH,5558.1481,5607.1342,5520.363,5559.376,108667184.0,107428092793.0,1.1366
485,2024-01-16,000852.SH,5555.0003,5566.2102,5463.2948,5539.4741,116803108.0,113669505609.0,1.2202
484,2024-01-17,000852.SH,5529.8946,5529.8946,5389.1216,5389.1216,104037354.0,104138700027.0,1.0868
483,2024-01-18,000852.SH,5360.2062,5375.2344,5214.8994,5373.4239,148711036.0,142966452447.0,1.5532
482,2024-01-19,000852.SH,5364.807,5395.1373,5304.9599,5306.9862,106431086.0,109174686372.0,1.1116
481,2024-01-22,000852.SH,5298.3136,5298.3136,4970.1979,5000.8336,144252512.0,139600818351.0,1.5053
480,2024-01-23,000852.SH,4992.7924,5102.4428,4939.5196,5079.6315,130288241.0,124162903227.0,1.3591
479,2024-01-24,000852.SH,5102.8249,5151.4231,4951.9007,5143.4078,143326441.0,135222048614.0,1.495
478,2024-01-25,000852.SH,5143.2892,5316.2611,5112.5353,5316.195,163144917.0,158319218895.0,1.7018
477,2024-01-26,000852.SH,5303.961,5352.8464,5253.3165,5269.7646,155415661.0,150031258107.0,1.6209
476,2024-01-29,000852.SH,5282.8174,5301.8708,5131.2465,5131.2465,150000892.0,141294666661.0,1.5643
475,2024-01-30,000852.SH,5099.587,5144.2936,4978.9095,4984.6598,125015069.0,117586947100.0,1.3036
474,2024-01-31,000852.SH,4949.188,4986.1016,4775.6227,4785.032,158237155.0,139299752958.0,1.6499
473,2024-02-01,000852.SH,4753.6393,4858.7154,4684.4734,4750.4439,147115516.0,129099528519.0,1.534
472,2024-02-02,000852.SH,4753.668,4802.6191,4431.8151,4574.6692,176885435.0,150000797614.0,1.8443
471,2024-02-05,000852.SH,4534.7524,4534.7524,4177.9428,4293.0695,211274330.0,166206907858.0,2.1994
470,2024-02-06,000852.SH,4229.7937,4641.4545,4192.9652,4592.4444,210187410.0,169330958131.0,2.1882
469,2024-02-07,000852.SH,4604.1217,4848.2363,4599.3511,4797.8456,216213317.0,188713236492.0,2.2508
468,2024-02-08,000852.SH,4826.1434,5067.2281,4826.1434,4993.1046,217620059.0,192261800169.0,2.2655
467,2024-02-19,000852.SH,5062.6847,5071.1997,4950.3279,5029.5861,203870996.0,185885021627.0,2.1196
466,2024-02-20,000852.SH,5004.4203,5058.2174,4950.3943,5046.0121,154344285.0,151079011057.0,1.6047
465,2024-02-21,000852.SH,5001.6567,5208.6485,4974.0762,5073.4821,193280527.0,178053450105.0,2.0091
464,2024-02-22,000852.SH,5075.4319,5152.0243,5066.0027,5151.5343,153064295.0,146838694831.0,1.591
463,2024-02-23,000852.SH,5169.0132,5225.6697,5114.1452,5225.6697,171213693.0,167541135857.0,1.7796
462,2024-02-26,000852.SH,5234.8052,5325.7702,5201.1251,5255.3962,184471643.0,180222595495.0,1.9166
461,2024-02-27,000852.SH,5237.1053,5394.0342,5218.5861,5394.0342,182622372.0,183476438079.0,1.8973
460,2024-02-28,000852.SH,5403.4963,5478.0858,5152.0519,5152.0519,260742382.0,251859520938.0,2.7086
459,2024-02-29,000852.SH,5122.1798,5344.6052,5122.1798,5344.6052,188036238.0,185219961182.0,1.9534
458,2024-03-01,000852.SH,5354.7305,5411.3228,5322.0862,5401.9394,184436487.0,196339349955.0,1.9159
457,2024-03-04,000852.SH,5412.9077,5429.8009,5332.238,5428.3356,179308205.0,199765408573.0,1.8621
456,2024-03-05,000852.SH,5392.8771,5417.8157,5337.6652,5375.1317,174166911.0,196428311576.0,1.8087
455,2024-03-06,000852.SH,5346.0794,5434.4015,5306.4561,5381.4587,154684371.0,164978930228.0,1.6063
454,2024-03-07,000852.SH,5389.9887,5430.3924,5303.2766,5303.2766,161023860.0,167524667896.0,1.6725
453,2024-03-08,000852.SH,5309.5935,5386.1757,5283.1463,5370.3719,139130895.0,147532325484.0,1.4444
452,2024-03-11,000852.SH,5358.8369,5466.6455,5350.2919,5466.6455,164133442.0,175152725408.0,1.7031
451,2024-03-12,000852.SH,5477.1313,5524.5045,5443.9649,5496.3553,183984140.0,198909272335.0,1.9084
450,2024-03-13,000852.SH,5501.5856,5561.0818,5476.7856,5521.7838,181270807.0,200355388366.0,1.8802
449,2024-03-14,000852.SH,5521.7162,5546.1031,5433.2076,5486.6461,168948172.0,184410019587.0,1.7524
448,2024-03-15,000852.SH,5472.8927,5555.6442,5459.3173,5555.6442,161095841.0,171573287270.0,1.6709
447,2024-03-18,000852.SH,5573.9273,5648.0117,5559.0524,5648.0117,193419517.0,212069710000.0,2.0061
446,2024-03-19,000852.SH,5633.5043,5660.5021,5607.2555,5607.4754,181118096.0,202358294571.0,1.8784
445,2024-03-20,000852.SH,5600.1245,5663.738,5600.1245,5659.1539,179307654.0,199862431482.0,1.8595
444,2024-03-21,000852.SH,5674.495,5690.4548,5623.297,5658.2794,194332946.0,215621373721.0,2.0151
443,2024-03-22,000852.SH,5649.083,5660.145,5546.7785,5595.8848,210254327.0,226506007180.0,2.1802
