time,direction,signal,close_1000,close_500,next_close_1000,next_close_500,ret_next_1000,ret_next_500,trade_ret
2024-01-03,long_1000_short_500,1,5824.0428,5401.395,5783.0155,5355.3216,-0.007044470895715249,-0.008529907551660276,0.0014854366559450272
2024-01-04,long_1000_short_500,1,5783.0155,5355.3216,5675.8091,5281.8711,-0.01853814847980262,-0.013715422804860156,-0.004822725674942463
2024-01-05,long_1000_short_500,1,5675.8091,5281.8711,5543.5745,5167.6997,-0.02329792945291287,-0.021615711144484462,-0.001682218308428407
2024-01-08,long_1000_short_500,1,5543.5745,5167.6997,5553.3035,5180.653,0.0017550048258574424,0.002506589150294447,-0.0007515843244370046
2024-01-09,short_1000_long_500,-1,5553.3035,5180.653,5512.0686,5158.0784,-0.007425291990614258,-0.004357481576164224,0.003067810414450034
2024-01-10,long_1000_short_500,1,5512.0686,5158.0784,5611.1149,5223.8633,0.017968988992626,0.012753761168112554,0.0052152278245134465
2024-01-11,short_1000_long_500,-1,5611.1149,5223.8633,5574.4926,5206.178,-0.006526742127487051,-0.0033854829241033446,0.003141259203383706
2024-01-12,long_1000_short_500,1,5574.4926,5206.178,5559.376,5193.2956,-0.00271174456308354,-0.00247444478463843,-0.0002372997784451103
2024-01-15,short_1000_long_500,-1,5559.376,5193.2956,5539.4741,5190.3975,-0.003579880187992268,-0.0005580464166146104,0.0030218337713776577
2024-01-16,short_1000_long_500,-1,5539.4741,5190.3975,5389.1216,5061.5395,-0.027142016965112203,-0.024826229590315663,0.0023157873747965407
2024-01-17,short_1000_long_500,-1,5389.1216,5061.5395,5373.4239,5066.9579,-0.002912849470681933,0.0010705043396381786,0.003983353810320112
2024-01-18,short_1000_long_500,-1,5373.4239,5066.9579,5306.9862,5018.4332,-0.012364127832907301,-0.009576692950221677,0.0027874348826856243
2024-01-19,short_1000_long_500,-1,5306.9862,5018.4332,5000.8336,4780.9748,-0.057688599227938564,-0.04731723837631241,0.010371360851626155
2024-01-22,short_1000_long_500,-1,5000.8336,4780.9748,5079.6315,4865.743,0.015756953000795715,0.01773031725663987,0.0019733642558441566
2024-01-23,short_1000_long_500,-1,5079.6315,4865.743,5143.4078,4933.7009,0.012555300517370194,0.013966602839484032,0.0014113023221138388
2024-01-24,long_1000_short_500,1,5143.4078,4933.7009,5316.195,5073.1779,0.03359391413607127,0.028270258539588422,0.005323655596482846
2024-01-25,short_1000_long_500,-1,5316.195,5073.1779,5269.7646,5027.0932,-0.00873376540928228,-0.009083990529880626,-0.00035022512059834643
2024-01-26,long_1000_short_500,1,5269.7646,5027.0932,5131.2465,4927.9137,-0.026285443566113065,-0.019728995674876293,-0.006556447891236772
2024-01-29,long_1000_short_500,1,5131.2465,4927.9137,4984.6598,4814.9908,-0.028567464065505255,-0.022914950803623158,-0.005652513261882097
2024-01-30,long_1000_short_500,1,4984.6598,4814.9908,4785.032,4696.9796,-0.04004843018574711,-0.024509122634252978,-0.01553930755149413
2024-01-31,short_1000_long_500,-1,4785.032,4696.9796,4750.4439,4678.7308,-0.007228394710839914,-0.003885220195548489,0.003343174515291425
2024-02-01,short_1000_long_500,-1,4750.4439,4678.7308,4574.6692,4563.2221,-0.03700174208982865,-0.024688041466288335,0.012313700623540313
2024-02-02,short_1000_long_500,-1,4574.6692,4563.2221,4293.0695,4460.2635,-0.06155629788488326,-0.0225626975290113,0.03899360035587196
2024-02-05,short_1000_long_500,-1,4293.0695,4460.2635,4592.4444,4805.9013,0.06973446388417437,0.07749268625048722,0.00775822236631285
2024-02-06,long_1000_short_500,1,4592.4444,4805.9013,4797.8456,5109.5685,0.04472589804244542,0.06318631637316385,-0.01846041833071843
2024-02-07,long_1000_short_500,1,4797.8456,5109.5685,4993.1046,5150.2288,0.0406972246043098,0.007957677835222166,0.032739546769087635
2024-02-08,long_1000_short_500,1,4993.1046,5150.2288,5029.5861,5141.6037,0.007306376077120591,-0.0016747022967212866,0.008981078373841878
2024-02-19,short_1000_long_500,-1,5029.5861,5141.6037,5046.0121,5140.9575,0.0032658750985492535,-0.00012568063151174869,-0.003391555730061002
2024-02-20,long_1000_short_500,1,5046.0121,5140.9575,5073.4821,5139.0372,0.005443902918901067,-0.00037352963917725024,0.005817432558078317
2024-02-21,long_1000_short_500,1,5073.4821,5139.0372,5151.5343,5176.3431,0.015384345201493899,0.007259316978674546,0.008125028222819353
2024-02-22,short_1000_long_500,-1,5151.5343,5176.3431,5225.6697,5197.7115,0.014390935919809333,0.004128088031877253,-0.01026284788793208
2024-02-23,long_1000_short_500,1,5225.6697,5197.7115,5255.3962,5195.4642,0.005688553181996792,-0.00043236335837415485,0.0061209165403709465
2024-02-26,long_1000_short_500,1,5255.3962,5195.4642,5394.0342,5307.8043,0.02638012334826434,0.021622726223385236,0.004757397124879104
2024-02-27,short_1000_long_500,-1,5394.0342,5307.8043,5152.0519,5184.0471,-0.044861098581836845,-0.023316081943714484,0.02154501663812236
2024-02-28,long_1000_short_500,1,5152.0519,5184.0471,5344.6052,5346.7929,0.037374099434052566,0.0313935805097143,0.005980518924338263
2024-02-29,short_1000_long_500,-1,5344.6052,5346.7929,5401.9394,5379.0482,0.010727490217612434,0.006032644353964001,-0.004694845863648434
2024-03-01,short_1000_long_500,-1,5401.9394,5379.0482,5428.3356,5388.82,0.004886430232815986,0.0018166410927493715,-0.0030697891400666144
2024-03-04,short_1000_long_500,-1,5428.3356,5388.82,5375.1317,5351.8268,-0.009801144203390844,-0.006864805282046915,0.0029363389213439284
2024-03-05,short_1000_long_500,-1,5375.1317,5351.8268,5381.4587,5350.1016,0.001177087437690183,-0.00032235721828666186,-0.0014994446559768448
2024-03-06,long_1000_short_500,1,5381.4587,5350.1016,5303.2766,5277.2988,-0.014528049801812992,-0.013607741580085153,-0.0009203082217278391
2024-03-07,long_1000_short_500,1,5303.2766,5277.2988,5370.3719,5349.595,0.012651668970085295,0.013699470645853973,-0.0010478016757686781
